id;comp;i;o;mode
source;source;[];['0x7f7892fd1128'];auto
vessel_turb;vessel;['0x7f7892fd1128'];['0x7f7892fd1160'];man
turbine_hp;turbine;['0x7f7892fd1160'];['0x7f7892fd1198'];auto;eta_s;0.8999999999999986
splitter1;splitter;['0x7f7892fd1198'];['0x7f7892fd11d0', '0x7f7892fd1240'];auto;num_out;2
preheater;condenser;['0x7f7892fd11d0', '0x7f7892fd1390'];['0x7f7892fd12b0', '0x7f7892fd1438'];auto;ttd_u;7.000000000000796;dp1;0.95;dp2;0.99
turbine_lp;turbine;['0x7f7892fd1240'];['0x7f7892fd1358'];auto;eta_s;0.8999999999999967
vessel1;vessel;['0x7f7892fd12b0'];['0x7f7892fd12e8'];man
merge1;merge;['0x7f7892fd1358', '0x7f7892fd12e8'];['0x7f7892fd1320'];auto;num_in;2
condenser;condenser;['0x7f7892fd1320', '0x7f7892fd1518'];['0x7f7892fd13c8', '0x7f7892fd1550'];auto;ttd_u;6.9999999999987494;dp1;0.95;dp2;0.95
pump;pump;['0x7f7892fd13c8'];['0x7f7892fd1390'];man;eta_s;0.8000000000009302
steam generator;heat_exchanger_simple;['0x7f7892fd1438'];['0x7f7892fd14e0'];man;dp;0.95
source_cw;source;[];['0x7f7892fd1518'];auto
sink_cw;sink;['0x7f7892fd1550'];[];auto
sink;sink;['0x7f7892fd14e0'];[];auto
