,m,p,h,T,v,vol,s,x,Td_bp,PHE,S800,Water
source:out1_boiler:in1,100.0,2.0,100.0,46.94571580233952,0.10392670186561417,0.0010392670186561417,326.0023871536029,0.0,0.0,0.15,0.05,0.8
boiler:out1_press:in1,100.0,2.0,100.0,46.94571580233952,0.10392670186561417,0.0010392670186561417,326.0023871536029,0.0,0.0,0.15,0.05,0.8
press:out1_liquidmerge:in1,7.777777777777778,2.0,78.66612649956694,46.94571580233742,0.008221058787004482,0.001056993272614862,256.36963386693697,0.0,0.0,0.05,0.45,0.49999999999999994
press:out2_decanter:in1,92.22222222222223,2.0,101.79924234341111,46.94571580233952,0.09570564307860967,0.0010377720333825144,331.8750289970552,0.0,0.0,0.158433734939759,0.016265060240963854,0.825301204819277
decanter:out1_liquidmerge:in2,1.2857142857142858,2.0,85.51182358236268,46.94571580233941,0.0013476962897216464,0.0010482082253390583,278.7159180028229,0.0,0.0,0.05,0.35,0.6
decanter:out2_centrifuge:in1,90.93650793650794,2.0,102.0295235302927,46.94571580233952,0.09435794678888801,0.0010376244803106903,332.6266240381676,0.0,0.0,0.15996683539884796,0.011546517716879036,0.828486646884273
centrifuge:out1_thickener:in1,79.18149751483085,2.0,109.4675118264149,46.94571580233952,0.08046317117410214,0.0010161865296754613,356.9149649956258,0.0,0.0,0.036742991363861846,0.011776108371890533,0.9514809002642476
centrifuge:out2_oil:in1,11.755010421677088,2.0,51.92739425453558,46.94571580233958,0.013894775614785896,0.0011820300549596219,169.0208814506649,0.0,0.0,0.99,0.01,0.0
thickener:out1_liquidmerge:in3,11.637460317460313,2.0,91.88882840645805,46.94571580221913,0.012327881012708413,0.0010593274371223612,299.51821675618004,0.0,0.0,0.25,0.08012486146863365,0.6698751385313658
thickener:out2_vapourextract1:in1,67.54403719737054,2.0,112.49622078757943,46.94571580233952,0.0681352901613929,0.0010087535923014885,366.8041041067663,-inf,,0.0,0.0,1.0
liquidmerge:out1_drier:in1,20.700952380952376,2.0,86.52471562495244,46.94571580226835,0.021896636089434426,0.0010577598405367202,282.0143891470431,0.0,0.0,0.16243405717089926,0.23585629327256125,0.6017096495565392
drier:out1_meal:in1,9.161099531469906,2.0,53.809499855619954,46.945715802341,0.010255768072889384,0.0011194909560428973,175.20834142223455,0.0,0.0,0.3670454262601117,0.5329545737398877,0.1
drier:out2_vapourextract2:in1,11.53985284948247,2.0,112.4962207874663,46.94571580233952,0.01164086801654601,0.0010087535923014885,366.8041041067663,-inf,,0.0,0.0,1.0
