,m,m_unit,v,v_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,vol,vol_unit,x,x_unit,s,s_unit,Water,S800,PHE
source:out1_boiler:in1,100.0,kg / s,0.10244903431560048,m3 / s,5.0,bar,11.927817356454685,kJ / kg,4.999999999986585,C,0.0,C,0.0010244903431560048,m3 / kg,0.0,-,42.1753430798432,J / kgK,0.8,0.05,0.15
boiler:out1_press:in1,100.0,kg / s,0.10731885384290363,m3 / s,5.0,bar,347.73276629402903,kJ / kg,95.00000000000261,C,0.0,C,0.0010731885384290363,m3 / kg,0.0,-,1087.6845264099145,J / kgK,0.8,0.05,0.15
press:out1_liquidmerge:in1,23.333333333333332,kg / s,0.026160149686381987,m3 / s,5.0,bar,242.16768988793567,kJ / kg,85.00000000000057,C,0.0,C,0.0011211492722735137,m3 / kg,0.0,-,763.1933790048797,J / kgK,0.5,0.05,0.45
press:out2_presswaterheater:in1,76.66666666666667,kg / s,0.08038044079569365,m3 / s,5.0,bar,330.688365454369,kJ / kg,85.00000000000176,C,0.0,C,0.0010484405321177432,m3 / kg,0.0,-,1051.0286927193572,J / kgK,0.8913043478260869,0.04999999999999999,0.058695652173913045
presswaterheater:out1_decanter:in1,76.66666666666667,kg / s,0.0809604901932347,m3 / s,5.0,bar,370.2784672442884,kJ / kg,95.00000000000011,C,0.0,C,0.0010560063938248004,m3 / kg,0.0,-,1160.0534576533219,J / kgK,0.8913043478260869,0.04999999999999999,0.058695652173913045
decanter:out1_liquidmerge:in2,3.857142857142857,kg / s,0.004268479211824417,m3 / s,5.0,bar,281.54439230506006,kJ / kg,89.99999999999983,C,0.0,C,0.0011066427586211452,m3 / kg,0.0,-,883.2089826934339,J / kgK,0.6,0.05,0.35
decanter:out2_centrifuge:in1,72.80952380952381,kg / s,0.07639654564835228,m3 / s,5.0,bar,354.12058245226115,kJ / kg,90.00000000000074,C,0.0,C,0.0010492658329727914,m3 / kg,0.0,-,1117.673342516109,J / kgK,0.9067364290385873,0.05,0.0432635709614127
centrifuge:out1_thickener:in1,69.86772486772487,kg / s,0.07114264015923824,m3 / s,5.0,bar,181.05101285503065,kJ / kg,44.999999999999375,C,0.0,C,0.0010182475569932622,m3 / kg,0.0,-,611.6350715143549,J / kgK,0.9449148049981069,0.010421052631578942,0.04466414237031428
centrifuge:out2_oil:in1,2.9417989417989414,kg / s,0.00333524269094514,m3 / s,5.0,bar,100.0781863246528,kJ / kg,79.99999999999994,C,0.0,C,0.0011337425694040136,m3 / kg,0.0,-,308.9315041090459,J / kgK,0.0,0.99,0.01
thickener:out1_liquidmerge:in3,12.482328042328044,kg / s,0.013748836912735814,m3 / s,5.0,bar,356.36268450897313,kJ / kg,104.99999999999943,C,0.0,C,0.00110146415525317,m3 / kg,0.0,-,1096.568708329052,J / kgK,0.6916699164109258,0.05833008358907408,0.25
thickener:out2_vapourextract1:in1,57.385396825396825,kg / s,0.060096661478604874,m3 / s,5.0,bar,440.55426498767247,kJ / kg,104.99999999999773,C,-46.83107910307007,C,0.0010472465958797402,m3 / kg,-1.0,-,1363.039002179117,J / kgK,1.0,0.0,0.0
liquidmerge:out1_drier:in1,39.67280423280423,kg / s,0.044193935239153485,m3 / s,5.0,bar,281.9254277292528,kJ / kg,92.28684488833858,C,0.0,C,0.0011139604596594377,m3 / kg,0.0,-,880.793757452899,J / kgK,0.570027846831756,0.052620909663170706,0.3773512435050733
drier:out1_meal:in1,18.95355673133452,kg / s,0.022841343955262258,m3 / s,5.0,bar,184.9308840842808,kJ / kg,99.99999999999989,C,0.0,C,0.0012051217762996612,m3 / kg,0.0,-,559.4856087856896,J / kgK,0.1,0.11014392059553348,0.7898560794044664
drier:out2_vapourextract2:in1,20.719247501469713,kg / s,34.63773627778022,m3 / s,1.0141799665682765,bar,2675.569884418101,kJ / kg,99.999999999137,C,0.0,C,1.6717661331727036,m3 / kg,1.0,-,7354.1191457120685,J / kgK,1.0,0.0,0.0
